Word	Classification
referee	Oxford 5000 Expanded (B2)
reflection	Oxford 5000 Expanded (C1)
reform	Oxford 5000 Expanded (C1)
refresh	External Word (Not in Oxford 3000/5000)
refreshing	External Word (Not in Oxford 3000/5000)
refund	External Word (Not in Oxford 3000/5000)
regardless	Oxford 5000 Expanded (C1)
relaxation	External Word (Not in Oxford 3000/5000)
renew	Oxford 5000 Expanded (C1)
renewable	External Word (Not in Oxford 3000/5000)
republic	Oxford 5000 Expanded (C1)
reset	External Word (Not in Oxford 3000/5000)
resign	Oxford 5000 Expanded (B2)
responsibly	External Word (Not in Oxford 3000/5000)
restroom	External Word (Not in Oxford 3000/5000)
resume	Oxford 5000 Expanded (C1)
retirement	Oxford 5000 Expanded (B2)
reunion	External Word (Not in Oxford 3000/5000)
revision	Oxford 5000 Expanded (B2)
ribbon	External Word (Not in Oxford 3000/5000)
risky	Oxford 5000 Expanded (B2)
roast	External Word (Not in Oxford 3000/5000)
rocket	Oxford 5000 Expanded (B2)
romance	Oxford 5000 Expanded (B2)
rose	Spelling/Format Variant
ruin	Oxford 5000 Expanded (B2)
ruler	External Word (Not in Oxford 3000/5000)
rushed	External Word (Not in Oxford 3000/5000)
s	Spelling/Format Variant
sadness	External Word (Not in Oxford 3000/5000)
safely	External Word (Not in Oxford 3000/5000)
salty	External Word (Not in Oxford 3000/5000)
satisfaction	Oxford 5000 Expanded (B2)
satisfying	External Word (Not in Oxford 3000/5000)
saturn	External Word (Not in Oxford 3000/5000)
scenery	External Word (Not in Oxford 3000/5000)
scholarship	Oxford 5000 Expanded (B2)
scooter	External Word (Not in Oxford 3000/5000)
scotland	External Word (Not in Oxford 3000/5000)
scratch	Oxford 5000 Expanded (B2)
screening	Oxford 5000 Expanded (B2)
scroll	External Word (Not in Oxford 3000/5000)
seafood	External Word (Not in Oxford 3000/5000)
semester	External Word (Not in Oxford 3000/5000)
seminar	Oxford 5000 Expanded (B2)
server	External Word (Not in Oxford 3000/5000)
sewing	External Word (Not in Oxford 3000/5000)
sharing	External Word (Not in Oxford 3000/5000)
sharpener	External Word (Not in Oxford 3000/5000)
shocking	Oxford 5000 Expanded (B2)
shopkeeper	External Word (Not in Oxford 3000/5000)
shortcut	External Word (Not in Oxford 3000/5000)
shuttle	External Word (Not in Oxford 3000/5000)
sightseeing	External Word (Not in Oxford 3000/5000)
siren	External Word (Not in Oxford 3000/5000)
skilled	Oxford 5000 Expanded (B2)
skip	Oxford 5000 Expanded (C1)
skype	External Word (Not in Oxford 3000/5000)
sleepy	External Word (Not in Oxford 3000/5000)
slippery	External Word (Not in Oxford 3000/5000)
smartly	External Word (Not in Oxford 3000/5000)
smith	External Word (Not in Oxford 3000/5000)
smoothly	External Word (Not in Oxford 3000/5000)
sms	External Word (Not in Oxford 3000/5000)
snack	External Word (Not in Oxford 3000/5000)
sneeze	External Word (Not in Oxford 3000/5000)
socket	External Word (Not in Oxford 3000/5000)
soda	External Word (Not in Oxford 3000/5000)
sofa	External Word (Not in Oxford 3000/5000)
soften	External Word (Not in Oxford 3000/5000)
someday	External Word (Not in Oxford 3000/5000)
