Word	Level	Original_Line
unexpected	B2	unexpected
unhappy	A2	unhappy
uniform	A2	uniform
unique	B2	unique
unknown	B2	unknown
unless	B1	unless
upon	B1	upon
upper	B2	upper
upstairs	A1, A2	upstairs
upwards	B2	upwards
urge	B2	urge
us	A1	us
used	B1	used, used
used to	A2	used to
valley	A2	valley
various	B1	various
via	B2	via
violent	B1	violent
volume	B2	volume
weakness	B2	weakness
wealth	B2	wealth
wealthy	B2	wealthy
weapon	B1	weapon
welcome	A1, A2	welcome
wet	A2	wet
whereas	B2	whereas
whisper	B2	whisper
whom	B2	whom
whose	A2	whose
wife	A1	wife
wild	A2	wild
woman	A1	woman
worried	A2	worried
worse	A2, B1, B2	worse
worst	A2, B1, B2	worst
worth	B1, B2	worth
wrap	B2	wrap
written	B1	written
yard	B1	yard
youth	B1	youth
zero	A2	zero
zone	B2	zone
